id,ADP,WEIGHTED AGGREGATE RANK,DELTA %,PLAYER,POSITION
e03c1e25-f42a-4926-b45f-88fd083ddc36,196.3,213.9,-8.23%,Tyler Conklin,TE
1cb78fa4-f00c-4930-b736-e73291a12b32,196.7,197.8,-0.56%,Brock Purdy,QB
7422d8e6-6f64-4525-8fbc-0a901fa15de8,197.6,231.2,-14.53%,Gus Edwards,RB
d9eef286-e4be-4f14-a0aa-5c6557b1b7b1,198.8,186.8,6.42%,Kareem Hunt,RB
48a0247e-065b-4dae-a5fe-5f19ae2a8c55,201.8,185.3,8.90%,Sam Howell,QB
8b42ce6b-7c79-4d62-a3d8-28f5670880c1,202.8,192,5.63%,Desmond Ridder,QB
fd5dcd1d-e39b-4594-9c3d-b02d3d8cadaa,204.2,187.8,8.73%,Robert Woods,WR
e72aa907-1abb-4c7d-9e30-4dd0bf776ffc,205,205.9,-0.44%,Nathaniel Dell,WR
24e1dc2a-0e1a-4857-9a57-e4947d40a3cb,205.2,205.1,0.05%,Zach Evans,RB
f4723202-e382-4b75-8dff-145cdbafc884,205.5,184.2,11.56%,Trey McBride,TE
d226c92f-0705-4e5a-8ac7-f996844d04d3,206.2,199,3.62%,Jerome Ford,RB
c6b11c44-9ec0-499b-9401-542d5a4b33b0,206.8,220.7,-6.30%,Tim Patrick,WR
3790641b-0c1a-41de-8488-164e5931f9e5,207,208.1,-0.53%,Isaiah Likely,TE
94780531-d0d3-48f9-8194-1e72295bda3b,209,182.9,14.27%,Mac Jones,QB
c5061128-d87c-4bbd-b25c-e1911a3c2619,209.1,246.6,-15.21%,Marvin Jones,WR
41a3bdb9-bbf7-4d8b-a46d-1bed604f702e,209.1,219.1,-4.56%,Deuce Vaughn,RB
fca91a6e-cea8-4feb-bbde-8e3f29811c84,209.9,199.4,5.27%,Noah Fant,TE
74f09b20-1fd7-4e7e-87a4-3e3990469401,211.1,215.6,-2.09%,Jelani Woods,TE
39ad9964-a774-4889-9b83-d19de59db818,211.1,210,0.52%,Richie James,WR
78e57757-9596-40ad-99e1-1b169b6564ea,211.4,234.3,-9.77%,Michael Carter,RB
d569d88f-dedd-471d-8405-496129e2b892,212.2,206.8,2.61%,Cedric Tillman,WR
09485598-f88a-444e-8199-f88b49ec9233,212.9,209.8,1.48%,Israel Abanikanda,RB
0d5b4150-eed7-4622-a0e2-177291cece08,213.1,225.3,-5.42%,DeWayne McBride,RB
2c0451bb-7ece-42d6-869e-62e97a653ad7,213.2,227.5,-6.29%,Zach Ertz,TE
ef8334aa-20ff-4926-a451-89064decb8f9,213.2,239.1,-10.83%,James Robinson,RB
a4199c53-5349-4387-8163-9f7c3e1692e4,213.2,215,-0.84%,Baker Mayfield,QB
25f6293d-ba27-4682-9f85-e83f91a1a672,213.6,241.5,-11.55%,Allen Robinson,WR
c9af0753-2b8b-4f6c-80d9-8a54028a4712,213.7,222.2,-3.83%,Luke Musgrave,TE
47d46e3b-ddac-4aee-ba1e-7641ac069a28,213.7,226,-5.44%,Corey Davis,WR
e2ae73e7-a43e-42b7-9c8b-c89f29811594,214.1,195.9,9.29%,Hunter Henry,TE
5a8a537f-4e1c-4112-aee3-b3b5906fd99f,214.2,228.4,-6.22%,Cordarrelle Patterson,RB
04f17850-5517-4e1c-88c4-3e46e61a8fa5,214.4,236.7,-9.42%,Terrace Marshall,WR
e3bf8f16-5e01-4d26-8a4e-bd05574333c1,214.5,215.5,-0.46%,DeVante Parker,WR
1c2dfae1-36a6-4a0b-9c8d-2159f5e17fcb,214.6,240.2,-10.66%,Clyde Edwards-Helaire,RB
aa9e00f7-35ac-4aff-82dc-a2e19ef682bb,215,238.9,-10.00%,Cade Otton,TE
1defdb5e-7d66-4d23-a8cd-3e32e9e7e793,215,233.4,-7.88%,Will Levis,QB
